pais,liga,temporada,team_name,league,country,player_name,player_url,player_pos,player_age,nationality,in_squad,appearances,goals,minutes_played
England,Premier League,2020,Manchester City,Premier League,England,James Trafford,https://www.transfermarkt.com/james-trafford/profil/spieler/566799,Goalkeeper,17,England,6,0,0,0
England,Premier League,2020,Manchester City,Premier League,England,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,Goalkeeper,26,Brazil,56,48,0,4320
England,Premier League,2020,Manchester City,Premier League,England,Zack Steffen,https://www.transfermarkt.com/zack-steffen/profil/spieler/221624,Goalkeeper,25,United States,58,12,0,1080
England,Premier League,2020,Manchester City,Premier League,England,Scott Carson,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,Goalkeeper,34,England,14,1,0,90
England,Premier League,2020,Manchester City,Premier League,England,Rúben Dias,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,Centre-Back,23,Portugal,55,50,1,4332
England,Premier League,2020,Manchester City,Premier League,England,John Stones,https://www.transfermarkt.com/john-stones/profil/spieler/186590,Centre-Back,26,England,53,35,5,2865
England,Premier League,2020,Manchester City,Premier League,England,Nathan Aké,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,Centre-Back,25,Netherlands,30,13,1,993
England,Premier League,2020,Manchester City,Premier League,England,Taylor Harwood-Bellis,https://www.transfermarkt.com/taylor-harwood-bellis/profil/spieler/503977,Centre-Back,18,England,9,4,0,227
England,Premier League,2020,Manchester City,Premier League,England,Oleksandr Zinchenko,https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853,Left-Back,23,Ukraine,48,32,0,2330
England,Premier League,2020,Manchester City,Premier League,England,Eric García,https://www.transfermarkt.com/eric-garcia/profil/spieler/466794,Centre-Back,19,Spain,37,12,0,858
England,Premier League,2020,Manchester City,Premier League,England,Aymeric Laporte,https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553,Centre-Back,26,Spain,47,27,2,2250
England,Premier League,2020,Manchester City,Premier League,England,João Cancelo,https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712,Right-Back,26,Portugal,55,43,3,3324
England,Premier League,2020,Manchester City,Premier League,England,Kyle Walker,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,Right-Back,30,England,54,42,2,3457
England,Premier League,2020,Manchester City,Premier League,England,Philippe Sandler,https://www.transfermarkt.com/philippe-sandler/profil/spieler/340460,Centre-Back,23,Netherlands,0,0,0,0
England,Premier League,2020,Manchester City,Premier League,England,Benjamin Mendy,https://www.transfermarkt.com/benjamin-mendy/profil/spieler/157495,Left-Back,25,France,51,20,2,1524
England,Premier League,2020,Manchester City,Premier League,England,Nicolás Otamendi,https://www.transfermarkt.com/nicolas-otamendi/profil/spieler/54781,Centre-Back,32,Argentina,1,0,0,0
England,Premier League,2020,Manchester City,Premier League,England,Luke Mbete,https://www.transfermarkt.com/luke-mbete/profil/spieler/609883,Centre-Back,16,England,4,0,0,0
England,Premier League,2020,Manchester City,Premier League,England,Cole Palmer,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177,Attacking Midfield,18,England,12,2,0,98
England,Premier League,2020,Manchester City,Premier League,England,Rodri,https://www.transfermarkt.com/rodri/profil/spieler/357565,Defensive Midfield,24,Spain,60,53,2,3992
England,Premier League,2020,Manchester City,Premier League,England,Bernardo Silva,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Attacking Midfield,25,Portugal,57,45,5,3319
England,Premier League,2020,Manchester City,Premier League,England,Felix Nmecha,https://www.transfermarkt.com/felix-nmecha/profil/spieler/406640,Central Midfield,19,Germany,9,2,0,50
